2016-09-20 16:48:05,036 INFO  context.ContextLoader - Root WebApplicationContext: initialization started
2016-09-20 16:48:05,134 INFO  support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Sep 20 16:48:05 CST 2016]; root of context hierarchy
2016-09-20 16:48:05,188 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2016-09-20 16:48:05,493 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@b3a447e: defining beans [servletContext,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,adminController,configController,loginController,notifyController,adminService,configService,diskService,notifyService,persistService,timerTaskService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2016-09-20 16:48:05,641 INFO  service.NotifyService - 节点列表:{}
2016-09-20 16:48:05,686 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/admin.do] onto handler 'adminController'
2016-09-20 16:48:05,690 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.do] onto handler 'loginController'
2016-09-20 16:48:05,718 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/notify.do] onto handler 'notifyController'
2016-09-20 16:48:06,373 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 1337 ms
2016-09-20 16:48:06,417 INFO  servlet.DispatcherServlet - FrameworkServlet 'diamond': initialization started
2016-09-20 16:48:06,421 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'diamond-servlet': startup date [Tue Sep 20 16:48:06 CST 2016]; parent: Root WebApplicationContext
2016-09-20 16:48:06,422 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/diamond-servlet.xml]
2016-09-20 16:48:06,454 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@a2ff0ee: defining beans [viewResolver]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@b3a447e
2016-09-20 16:48:06,537 INFO  servlet.DispatcherServlet - FrameworkServlet 'diamond': initialization completed in 120 ms
2016-09-20 16:50:48,317 INFO  context.ContextLoader - Root WebApplicationContext: initialization started
2016-09-20 16:50:48,421 INFO  support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Sep 20 16:50:48 CST 2016]; root of context hierarchy
2016-09-20 16:50:48,484 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2016-09-20 16:50:48,831 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1e9e98ac: defining beans [servletContext,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,adminController,configController,loginController,notifyController,adminService,configService,diskService,notifyService,persistService,timerTaskService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
2016-09-20 16:50:48,974 INFO  service.NotifyService - 节点列表:{}
2016-09-20 16:50:49,018 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/admin.do] onto handler 'adminController'
2016-09-20 16:50:49,023 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.do] onto handler 'loginController'
2016-09-20 16:50:49,028 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/notify.do] onto handler 'notifyController'
2016-09-20 16:50:49,793 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 1475 ms
2016-09-20 16:50:49,839 INFO  servlet.DispatcherServlet - FrameworkServlet 'diamond': initialization started
2016-09-20 16:50:49,841 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'diamond-servlet': startup date [Tue Sep 20 16:50:49 CST 2016]; parent: Root WebApplicationContext
2016-09-20 16:50:49,843 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/diamond-servlet.xml]
2016-09-20 16:50:49,878 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@63e0c498: defining beans [viewResolver]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@1e9e98ac
2016-09-20 16:50:49,976 INFO  servlet.DispatcherServlet - FrameworkServlet 'diamond': initialization completed in 137 ms
